Transaction_ID,Customer_ID,Customer_Name,Customer_Email,Gender,Province,Order_Date,Load_Timestamp,Product_Category,Quantity,Unit_Price,Discount_Rate,Transaction_Amount,Expected_Amount,Payment_Method,Order_Status,Is_Promotion,Load_Delay_Hours,Is_Late,Quantity_Was_Invalid,Accuracy_Flag,Order_Status_Is_Invalid,Outlier_Flag_Before_Capping,Order_Date_Was_Imputed
T000146,C0132,Fah Saelim,fah.saelim132@example.com,M,Khon Kaen,2026-01-16,2026-01-16 02:00:00,Food,3,119.99,0.1,323.97,323.97,PromptPay,Returned,N,2.0,False,False,False,False,False,False
T000559,C0038,Boss Kittikul,boss.kittikul38@example.com,F,Nakhon Ratchasima,2026-05-19,2026-05-19 03:00:00,Electronics,4,385.46,0.05,1407.15,1464.75,Bank Transfer,Returned,N,3.0,False,False,True,False,False,False
T000082,C0145,Tee Srisawat,tee.srisawat145@example.com,M,Nakhon Ratchasima,2026-02-22,2026-02-22 17:00:00,Electronics,4,213.82,0.0,855.28,855.28,Cash on Delivery,Processing,N,0.0,False,False,False,False,False,True
T000368,C0179,Jane Chaiyo,jane.chaiyo179@example.com,F,Chanthaburi,2026-04-12,2026-04-12 01:00:00,Electronics,6,147.75,0.0,886.5,886.5,PromptPay,Processing,N,0.0,False,False,False,False,False,True
T000353,C0109,Jane Thongdee,unknown_C0109@unknown.local,F,Bangkok,2026-04-16,2026-04-16 04:00:00,Electronics,6,143.3,0.0,859.8,859.8,PromptPay,Cancelled,N,4.0,False,False,False,False,False,False
T000505,C0173,Tee Wongsa,tee.wongsa173@example.com,M,Phuket,2026-04-14,2026-04-14 17:00:00,Beauty,5,258.8,0.0,1294.0,1294.0,Credit Card,Processing,N,17.0,False,False,False,False,False,False
T000571,C0085,Aom Thongdee,aom.thongdee85@example.com,F,Chiang Mai,2026-01-20,2026-01-20 13:00:00,Food,4,236.68,0.0,946.72,946.72,Cash on Delivery,Completed,N,0.0,False,False,False,False,False,True
T000599,C0039,Beam Boonmee,beam.boonmee39@example.com,M,Rayong,2026-01-01,2026-01-01 07:00:00,Sports,1,470.07,0.15,318.43,399.56,Credit Card,Returned,N,7.0,False,False,True,False,False,False
T000074,C0022,Film Kittikul,film.kittikul22@example.com,F,Nakhon Ratchasima,2026-06-12,2026-06-12 08:00:00,Beauty,6,166.19,0.1,897.43,897.43,PromptPay,Returned,Y,8.0,False,False,False,False,False,False
T000205,C0134,Pim Wongsa,unknown_C0134@unknown.local,M,Chanthaburi,2026-06-28,2026-06-28 16:00:00,Food,6,247.3,0.0,1483.8,1483.8,Cash on Delivery,Cancelled,N,16.0,False,False,False,False,False,False
T000070,C0062,Beam Rattanakul,unknown_C0062@unknown.local,M,Bangkok,2026-03-31,2026-03-31 08:00:00,Beauty,6,210.09,0.0,1260.54,1260.54,Credit Card,Completed,N,0.0,False,False,False,False,False,True
T000130,C0093,Bank Thongdee,bank.thongdee93@example.com,F,Khon Kaen,2026-01-06,2026-01-06 08:00:00,Sports,3,162.6,0.1,439.02,439.02,PromptPay,Cancelled,N,0.0,False,False,False,False,False,True
T000411,C0056,Mint Maneerat,mint.maneerat56@example.com,M,Rayong,2026-01-09,2026-01-09 11:00:00,Beauty,5,268.07,0.0,1340.35,1340.35,PromptPay,Cancelled,N,0.0,False,False,False,False,False,True
T900007,C0149,May Pattanakul,may.pattanakul149@example.com,F,Chiang Mai,2026-04-03,2026-04-03 17:00:00,Fashion,2,218.01,0.1,392.42,392.42,Bank Transfer,Returned,N,0.0,False,False,False,False,False,True
T000116,C0145,Tee Srisawat,tee.srisawat145@example.com,M,Nakhon Ratchasima,2026-05-25,2026-05-25 06:00:00,Beauty,4,340.01,0.05,1292.04,1292.04,Bank Transfer,Unknown,N,6.0,False,False,False,True,False,False
T000548,C0053,Jane Pattanakul,jane.pattanakul53@example.com,M,Nakhon Ratchasima,2026-01-08,2026-01-08 02:00:00,Beauty,4,77.7,0.0,310.8,310.8,Credit Card,Cancelled,N,2.0,False,False,False,False,False,False
T000211,C0150,Mook Chaiyo,mook.chaiyo150@example.com,F,Chiang Mai,2026-04-30,2026-04-30 05:00:00,Food,5,76.96,0.0,384.8,384.8,Credit Card,Cancelled,N,5.0,False,False,False,False,False,False
T000558,C0033,Pim Srisawat,pim.srisawat33@example.com,M,Rayong,2026-06-27,2026-06-27 14:00:00,Electronics,2,89.22,0.0,115.33,178.44,Credit Card,Returned,N,14.0,False,False,True,False,False,False
T000531,C0125,May Lertprasert,may.lertprasert125@example.com,F,Rayong,2026-01-10,2026-01-10 10:00:00,Sports,1,103.51,0.15,87.98,87.98,PromptPay,Returned,N,10.0,False,False,False,False,False,False
T000250,C0011,Mint Rattanakul,mint.rattanakul11@example.com,F,Chanthaburi,2026-02-04,2026-02-04 19:00:00,Food,5,231.48,0.15,983.79,983.79,Cash on Delivery,Returned,N,19.0,False,False,False,False,False,False
T000179,C0034,Fah Pattanakul,fah.pattanakul34@example.com,M,Chiang Mai,2026-02-23,2026-02-23 15:00:00,Sports,6,87.78,0.0,526.68,526.68,Credit Card,Cancelled,N,0.0,False,False,False,False,False,True
T000105,C0086,Korn Dechawat,korn.dechawat86@example.com,F,Nakhon Ratchasima,2026-05-07,2026-05-07 08:00:00,Food,2,79.14,0.0,158.28,158.28,Credit Card,Processing,N,8.0,False,False,False,False,False,False
T000462,C0085,Aom Thongdee,aom.thongdee85@example.com,F,Unknown,2026-06-25,2026-06-25 18:00:00,Beauty,1,137.25,0.1,123.53,123.52,Cash on Delivery,Cancelled,N,18.0,False,False,False,False,False,False
T000441,C0016,Korn Lertprasert,korn.lertprasert16@example.com,M,Unknown,2026-03-01,2026-03-01 13:00:00,Sports,2,211.65,0.15,359.81,359.8,Credit Card,Cancelled,N,0.0,False,False,False,False,False,True
T000118,C0024,Fah Boonmee,fah.boonmee24@example.com,F,Bangkok,2026-06-22,2026-06-22 01:00:00,Electronics,5,198.5,0.05,942.88,942.88,Cash on Delivery,Completed,N,1.0,False,False,False,False,False,False
T000050,C0122,Anan Wongsa,anan.wongsa122@example.com,M,Chanthaburi,2026-02-27,2026-02-27 15:00:00,Food,6,188.54,0.05,1074.68,1074.68,PromptPay,Completed,N,15.0,False,False,False,False,False,False
T000253,C0149,May Pattanakul,may.pattanakul149@example.com,F,Unknown,2026-04-21,2026-04-21 14:00:00,Electronics,6,166.88,0.15,851.09,851.09,Bank Transfer,Returned,N,14.0,False,False,False,False,False,False
T000479,C0133,Gun Kittikul,unknown_C0133@unknown.local,F,Phuket,2026-05-28,2026-05-28 11:00:00,Home,6,98.7,0.1,382.34,532.98,PromptPay,Returned,N,11.0,False,False,True,False,False,False
T000139,C0044,Gun Phromla,gun.phromla44@example.com,F,Chonburi,2026-05-24,2026-05-24 19:00:00,Electronics,4,172.46,0.15,586.36,586.36,PromptPay,Cancelled,N,0.0,False,False,False,False,False,True
T000300,C0176,Ploy Boonmee,ploy.boonmee176@example.com,M,Chanthaburi,2026-02-19,2026-02-19 17:00:00,Fashion,1,666.44,0.1,599.8,599.8,Bank Transfer,Completed,N,17.0,False,False,False,False,False,False
T000510,C0016,Korn Lertprasert,korn.lertprasert16@example.com,M,Khon Kaen,2026-02-12,2026-02-12 18:00:00,Beauty,3,116.82,0.0,350.46,350.46,Credit Card,Completed,N,18.0,False,False,False,False,False,False
T000171,C0166,Jane Srisawat,jane.srisawat166@example.com,F,Nakhon Ratchasima,2026-05-30,2026-05-30 17:00:00,Fashion,5,151.98,0.0,759.9,759.9,PromptPay,Cancelled,N,17.0,False,False,False,False,False,False
T000528,C0067,May Pattanakul,may.pattanakul67@example.com,M,Chonburi,2026-03-14,2026-03-14 16:00:00,Beauty,3,137.2,0.05,391.02,391.02,Cash on Delivery,Processing,N,16.0,False,False,False,False,False,False
T900001,C0173,Tee Wongsa,tee.wongsa173@example.com,M,Phuket,2026-02-03,2026-02-03 03:00:00,Beauty,3,286.06,0.0,858.18,858.18,Bank Transfer,Returned,N,3.0,False,False,False,False,False,False
T000532,C0010,Beam Sukjai,beam.sukjai10@example.com,M,Phuket,2026-06-27,2026-06-27 06:00:00,Electronics,3,148.42,0.1,400.73,400.73,PromptPay,Cancelled,N,6.0,False,False,False,False,False,False
T000498,C0149,May Pattanakul,may.pattanakul149@example.com,F,Unknown,2026-03-22,2026-03-22 11:00:00,Home,4,166.41,0.0,665.64,665.64,Bank Transfer,Processing,N,0.0,False,False,False,False,False,True
T000401,C0137,Film Boonmee,film.boonmee137@example.com,M,Khon Kaen,2026-06-10,2026-06-10 15:00:00,Fashion,1,488.78,0.2,391.02,391.02,Cash on Delivery,Processing,N,15.0,False,False,False,False,False,False
T000102,C0004,Tee Dechawat,tee.dechawat4@example.com,M,Bangkok,2026-06-12,2026-06-14 18:00:00,Electronics,1,144.45,0.15,1227.8,122.78,Bank Transfer,Completed,Y,66.0,True,False,True,False,False,False
T000509,C0071,Aom Sukjai,aom.sukjai71@example.com,M,Chanthaburi,2026-03-08,2026-03-10 10:00:00,Beauty,3,90.67,0.0,272.01,272.01,Credit Card,Returned,N,58.0,True,False,False,False,False,False
T000464,C0103,Tee Phromla,tee.phromla103@example.com,F,Phuket,2026-01-19,2026-01-19 05:00:00,Food,6,260.38,0.05,1484.17,1484.17,Credit Card,Cancelled,N,5.0,False,False,False,False,False,False
T000354,C0152,Tee Dechawat,tee.dechawat152@example.com,M,Chanthaburi,2026-02-15,2026-02-15 19:00:00,Fashion,1,177.36,0.0,177.36,177.36,Bank Transfer,Completed,N,19.0,False,False,False,False,False,False
T000358,C0069,Jane Saelim,jane.saelim69@example.com,M,Khon Kaen,2026-01-22,2026-01-22 04:00:00,Electronics,2,327.93,0.05,623.07,623.07,PromptPay,Cancelled,N,4.0,False,False,False,False,False,False
T000583,C0119,Boss Khamdee,boss.khamdee119@example.com,M,Khon Kaen,2026-05-03,2026-05-03 17:00:00,Fashion,1,149.8,0.2,119.84,119.84,Credit Card,Completed,N,17.0,False,False,False,False,False,False
T000542,C0104,May Srisawat,may.srisawat104@example.com,F,Chonburi,2026-02-28,2026-02-28 05:00:00,Sports,5,199.81,0.05,949.1,949.1,PromptPay,Completed,N,0.0,False,False,False,False,False,True
T000183,C0001,Tee Saelim,tee.saelim1@example.com,F,Bangkok,2026-04-15,2026-04-15 09:00:00,Home,4,167.56,0.0,670.24,670.24,Bank Transfer,Processing,N,0.0,False,False,False,False,False,True
T000158,C0049,Gun Dechawat,gun.dechawat49@example.com,F,Nakhon Ratchasima,2026-02-13,2026-02-13 07:00:00,Food,6,175.83,0.1,949.48,949.48,PromptPay,Returned,N,0.0,False,False,False,False,False,True
T000117,C0025,Mook Srisawat,mook.srisawat25@example.com,M,Nakhon Ratchasima,2026-02-28,2026-02-28 02:00:00,Fashion,5,202.7,0.2,694.33,810.8,PromptPay,Returned,N,0.0,False,False,True,False,False,True
T000213,C0013,Narin Wongsa,narin.wongsa13@example.com,F,Khon Kaen,2026-05-21,2026-05-25 19:00:00,Sports,5,284.47,0.1,1280.12,1280.12,Cash on Delivery,Processing,N,115.0,True,False,False,False,False,False
T000577,C0007,Jane Saelim,jane.saelim7@example.com,M,Chiang Mai,2026-03-09,2026-03-09 03:00:00,Home,2,376.66,0.2,602.66,602.66,Cash on Delivery,Processing,Y,0.0,False,False,False,False,False,True
T000203,C0070,Pim Chaiyo,pim.chaiyo70@example.com,M,Khon Kaen,2026-05-22,2026-05-22 19:00:00,Home,2,114.35,0.05,217.26,217.26,PromptPay,Processing,N,19.0,False,False,False,False,False,False
T000320,C0017,Mook Rattanakul,mook.rattanakul17@example.com,F,Khon Kaen,2026-02-23,2026-02-23 17:00:00,Sports,6,333.51,0.0,2001.06,2001.06,PromptPay,Processing,N,17.0,False,False,False,False,False,False
T000315,C0029,Aom Pattanakul,aom.pattanakul29@example.com,F,Bangkok,2026-03-17,2026-03-17 12:00:00,Beauty,5,247.85,0.0,1239.25,1239.25,Cash on Delivery,Cancelled,N,12.0,False,False,False,False,False,False
T000410,C0172,Beam Saelim,beam.saelim172@example.com,F,Rayong,2026-02-05,2026-02-05 10:00:00,Food,2,64.3,0.1,115.74,115.74,PromptPay,Returned,N,10.0,False,False,False,False,False,False
T000121,C0141,Korn Phromla,korn.phromla141@example.com,M,Khon Kaen,2026-01-22,2026-01-22 07:00:00,Fashion,1,76.25,0.05,72.44,72.44,Cash on Delivery,Completed,N,7.0,False,False,False,False,False,False
T000210,C0044,Gun Phromla,gun.phromla44@example.com,F,Chonburi,2026-03-28,2026-03-28 02:00:00,Electronics,6,213.42,0.15,1088.44,1088.44,Bank Transfer,Completed,N,2.0,False,False,False,False,False,False
T000319,C0123,Ploy Khamdee,ploy.khamdee123@example.com,F,Chanthaburi,2026-04-14,2026-04-14 11:00:00,Electronics,6,312.61,0.1,1688.09,1688.09,Bank Transfer,Returned,N,11.0,False,False,False,False,False,False
T000352,C0081,Film Srisawat,film.srisawat81@example.com,M,Chonburi,2026-05-12,2026-05-12 01:00:00,Sports,1,316.91,0.0,316.91,316.91,PromptPay,Completed,N,1.0,False,False,False,False,False,False
T000292,C0080,May Kittikul,may.kittikul80@example.com,F,Khon Kaen,2026-06-24,2026-06-24 07:00:00,Fashion,2,299.01,0.1,538.22,538.22,Cash on Delivery,Cancelled,N,0.0,False,False,False,False,False,True
T000051,C0162,Aom Dechawat,aom.dechawat162@example.com,M,Rayong,2026-05-22,2026-05-22 15:00:00,Food,6,147.08,0.1,794.23,794.23,Cash on Delivery,Processing,N,15.0,False,False,False,False,False,False
T000295,C0060,Tee Maneerat,tee.maneerat60@example.com,M,Rayong,2026-02-16,2026-02-16 13:00:00,Food,4,521.86,0.15,1774.32,1774.32,Cash on Delivery,Completed,N,13.0,False,False,False,False,False,False
T000027,C0173,Tee Wongsa,tee.wongsa173@example.com,M,Phuket,2026-06-13,2026-06-13 12:00:00,Home,3,254.83,0.0,764.49,764.49,Cash on Delivery,Processing,N,12.0,False,False,False,False,False,False
T000477,C0139,Gun Phromla,gun.phromla139@example.com,M,Nakhon Ratchasima,2026-03-19,2026-03-19 06:00:00,Fashion,5,73.37,0.0,366.85,366.85,Cash on Delivery,Returned,N,0.0,False,False,False,False,False,True
T000045,C0075,Ice Maneerat,ice.maneerat75@example.com,F,Bangkok,2026-05-30,2026-05-30 06:00:00,Home,3,347.59,0.1,938.49,938.49,Credit Card,Completed,N,6.0,False,False,False,False,False,False
T000367,C0123,Ploy Khamdee,ploy.khamdee123@example.com,F,Chanthaburi,2026-06-16,2026-06-16 09:00:00,Food,5,227.44,0.1,1023.48,1023.48,Cash on Delivery,Cancelled,N,0.0,False,False,False,False,False,True
T000398,C0069,Jane Saelim,jane.saelim69@example.com,M,Khon Kaen,2026-05-15,2026-05-19 00:00:00,Food,5,205.91,0.0,1029.55,1029.55,PromptPay,Cancelled,N,96.0,True,False,False,False,False,False
T000327,C0048,Boss Dechawat,boss.dechawat48@example.com,F,Rayong,2026-03-12,2026-03-12 13:00:00,Food,2,180.15,0.15,306.25,306.26,Bank Transfer,Completed,N,13.0,False,False,False,False,False,False
T000555,C0019,Korn Dechawat,korn.dechawat19@example.com,M,Nakhon Ratchasima,2026-06-15,2026-06-15 01:00:00,Electronics,4,473.76,0.2,1516.03,1516.03,Cash on Delivery,Returned,N,0.0,False,False,False,False,False,True
T000090,C0109,Jane Thongdee,jane.thongdee109@example.com,F,Bangkok,2026-05-14,2026-05-14 04:00:00,Sports,4,255.94,0.0,1023.76,1023.76,PromptPay,Returned,N,4.0,False,False,False,False,False,False
T000197,C0109,Jane Thongdee,jane.thongdee109@example.com,F,Bangkok,2026-02-02,2026-02-02 05:00:00,Home,2,210.54,0.0,421.08,421.08,Credit Card,Cancelled,N,5.0,False,False,False,False,False,False
T000107,C0087,May Sukjai,may.sukjai87@example.com,M,Chanthaburi,2026-06-13,2026-06-13 07:00:00,Home,4,125.39,0.0,501.56,501.56,Credit Card,Processing,N,7.0,False,False,False,False,False,False
T000569,C0086,Korn Dechawat,korn.dechawat86@example.com,F,Nakhon Ratchasima,2026-05-06,2026-05-06 19:00:00,Food,3,181.97,0.1,330.28,491.32,Bank Transfer,Cancelled,N,19.0,False,False,True,False,False,False
T000095,C0142,Ploy Maneerat,ploy.maneerat142@example.com,F,Chiang Mai,2026-05-09,2026-05-09 17:00:00,Electronics,6,571.14,0.0,2092.5,3426.84,Cash on Delivery,Cancelled,N,17.0,False,False,False,False,True,False
T000317,C0036,Film Maneerat,film.maneerat36@example.com,F,Chonburi,2026-03-30,2026-03-30 14:00:00,Beauty,6,159.05,0.0,954.3,954.3,Credit Card,Returned,N,0.0,False,False,False,False,False,True
T000024,C0141,Korn Phromla,korn.phromla141@example.com,M,Khon Kaen,2026-04-17,2026-04-17 01:00:00,Sports,5,212.22,0.05,1008.04,1008.04,Credit Card,Cancelled,N,1.0,False,False,False,False,False,False
T000088,C0047,Ploy Saelim,ploy.saelim47@example.com,F,Khon Kaen,2026-04-11,2026-04-11 17:00:00,Electronics,3,383.05,0.0,1149.15,1149.15,Bank Transfer,Returned,N,17.0,False,False,False,False,False,False
T900011,C0047,Ploy  Saelim,ploy.saelim47@example.com,F,Khon Kaen,2026-05-18,2026-05-18 17:00:00,Home,2,149.97,0.05,284.94,284.94,Bank Transfer,Processing,N,17.0,False,False,False,False,False,False
T000473,C0052,Gun Dechawat,gun.dechawat52@example.com,F,Rayong,2026-04-22,2026-04-22 02:00:00,Electronics,1,284.44,0.15,241.77,241.77,Cash on Delivery,Processing,N,2.0,False,False,False,False,False,False
T000165,C0043,Beam Rattanakul,beam.rattanakul43@example.com,M,Bangkok,2026-06-07,2026-06-07 12:00:00,Sports,6,208.96,0.1,1128.38,1128.38,Bank Transfer,Returned,N,12.0,False,False,False,False,False,False
T000097,C0158,Nont Kittikul,nont.kittikul158@example.com,M,Nakhon Ratchasima,2026-01-05,2026-01-05 19:00:00,Food,4,175.75,0.0,703.0,703.0,Credit Card,Completed,N,19.0,False,False,False,False,False,False
T000054,C0012,Mint Pattanakul,mint.pattanakul12@example.com,M,Chiang Mai,2026-02-27,2026-02-27 13:00:00,Sports,3,305.63,0.05,871.05,871.05,PromptPay,Processing,N,13.0,False,False,False,False,False,False
T000486,C0178,Anan Wongsa,anan.wongsa178@example.com,M,Khon Kaen,2026-04-15,2026-04-19 05:00:00,Fashion,6,156.07,0.0,936.42,936.42,PromptPay,Processing,N,101.0,True,False,False,False,False,False
T000488,C0110,Mook Srisawat,mook.srisawat110@example.com,F,Nakhon Ratchasima,2026-04-18,2026-04-18 01:00:00,Food,1,269.19,0.1,242.27,242.27,Bank Transfer,Returned,N,0.0,False,False,False,False,False,True
T000214,C0156,Beam Kittikul,beam.kittikul156@example.com,M,Chanthaburi,2026-06-26,2026-06-26 02:00:00,Sports,5,130.87,0.2,523.48,523.48,Bank Transfer,Returned,N,2.0,False,False,False,False,False,False
T000231,C0156,Beam Kittikul,beam.kittikul156@example.com,M,Chanthaburi,2026-02-23,2026-02-23 08:00:00,Home,2,141.82,0.0,283.64,283.64,Bank Transfer,Processing,N,8.0,False,False,False,False,False,False
T000037,C0068,Beam Sukjai,beam.sukjai68@example.com,F,Bangkok,2026-02-04,2026-02-04 04:00:00,Sports,4,365.29,0.0,1461.16,1461.16,Credit Card,Completed,N,4.0,False,False,False,False,False,False
T000543,C0179,Jane Chaiyo,jane.chaiyo179@example.com,F,Chanthaburi,2026-06-01,2026-06-01 19:00:00,Sports,6,300.46,0.0,1802.76,1802.76,PromptPay,Unknown,N,19.0,False,False,False,True,False,False
T000414,C0030,May Thongdee,may.thongdee30@example.com,M,Nakhon Ratchasima,2026-04-10,2026-04-10 07:00:00,Electronics,3,158.95,0.0,476.85,476.85,Bank Transfer,Cancelled,N,7.0,False,False,False,False,False,False
T000038,C0129,Ploy Chaiyo,unknown_C0129@unknown.local,M,Bangkok,2026-01-06,2026-01-06 17:00:00,Beauty,4,211.89,0.1,762.8,762.8,PromptPay,Completed,N,17.0,False,False,False,False,False,False
T000143,C0169,Boss Kittikul,boss.kittikul169@example.com,M,Nakhon Ratchasima,2026-05-06,2026-05-06 13:00:00,Sports,3,161.97,0.0,485.91,485.91,Credit Card,Cancelled,N,0.0,False,False,False,False,False,True
T000140,C0174,Ploy Kittikul,unknown_C0174@unknown.local,M,Chiang Mai,2026-03-02,2026-03-02 13:00:00,Sports,5,138.85,0.1,624.83,624.83,PromptPay,Completed,N,13.0,False,False,False,False,False,False
T000220,C0178,Anan Wongsa,anan.wongsa178@example.com,M,Khon Kaen,2026-03-18,2026-03-18 06:00:00,Home,1,221.19,0.05,210.13,210.13,Cash on Delivery,Completed,N,6.0,False,False,False,False,False,False
T000014,C0144,Gun Sukjai,unknown_C0144@unknown.local,M,Phuket,2026-01-29,2026-01-29 18:00:00,Home,3,172.11,0.0,516.33,516.33,Bank Transfer,Processing,N,18.0,False,False,False,False,False,False
T000272,C0029,Aom Pattanakul,aom.pattanakul29@example.com,F,Bangkok,2026-04-27,2026-04-27 10:00:00,Sports,3,185.42,0.0,556.26,556.26,PromptPay,Cancelled,N,10.0,False,False,False,False,False,False
T000534,C0086,Korn Dechawat,korn.dechawat86@example.com,F,Nakhon Ratchasima,2026-06-18,2026-06-18 01:00:00,Fashion,6,259.77,0.05,1480.69,1480.69,Credit Card,Cancelled,N,1.0,False,False,False,False,False,False
T000582,C0034,Fah Pattanakul,fah.pattanakul34@example.com,M,Chiang Mai,2026-03-21,2026-03-21 02:00:00,Electronics,4,138.78,0.0,555.12,555.12,PromptPay,Processing,N,2.0,False,False,False,False,False,False
T000001,C0132,Fah Saelim,fah.saelim132@example.com,M,Khon Kaen,2026-02-10,2026-02-10 02:00:00,Electronics,4,199.57,0.0,798.28,798.28,Credit Card,Completed,N,2.0,False,False,False,False,False,False
T000346,C0127,Fah Rattanakul,fah.rattanakul127@example.com,F,Rayong,2026-05-26,2026-05-26 08:00:00,Beauty,6,301.38,0.0,1808.28,1808.28,Credit Card,Cancelled,N,8.0,False,False,False,False,False,False
T000529,C0179,Jane Chaiyo,jane.chaiyo179@example.com,F,Chanthaburi,2026-03-20,2026-03-20 07:00:00,Home,5,386.42,0.2,1545.68,1545.68,Credit Card,Returned,N,7.0,False,False,False,False,False,False
T000435,C0026,Mook Wongsa,mook.wongsa26@example.com,M,Chiang Mai,2026-03-08,2026-03-12 16:00:00,Beauty,5,120.9,0.1,544.05,544.05,Cash on Delivery,Returned,N,112.0,True,False,False,False,False,False
T000574,C0041,Tee Chaiyo,tee.chaiyo41@example.com,M,Chonburi,2026-06-22,2026-06-22 08:00:00,Fashion,1,189.02,0.2,151.22,151.22,Credit Card,Cancelled,N,8.0,False,True,False,False,False,False
